----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
                    Dnig   ADH_DRONI    Q00672      FBgn0012598
                    Dore   ADH_DROOR    P07159      FBgn0012616
                    Dpau   ADH_DROPU    Q9U8S9      FBgn0016290
                    Dper   ADH_DROPE    P37473      FBgn0012635
                    Dpic   ADH_DROPI    P23361      FBgn0012651
                    Dpla   ADH_DROPL    P23277      FBgn0012666
                    Dpsb   ADH_DROPB    P84328      FBgn0012678
                    Dpse   ADH_DROPS    Q6LCE4      FBgn0243561
                    Dsec   ADH_DROSE    Q9GN94      FBgn0012780
                    Dsil   ADH_DROSL    P23278      FBgn0012805
                    Dsim   ADH_DROSI    Q24641      FBgn0012824
                    Dsub   ADH_DROSU    Q03384      FBgn0012930
                    Dtei   ADH_DROTE    P28484      FBgn0013012
                    Dtsa   ADH_DROTS    P51550      FBgn0013060
                    Dwil   ADH_DROWI    Q05114      FBgn0013152
                    Dyak   ADH_DROYA    P26719      FBgn0013162
                    Salb   ADH_SCAAL    P25988      FBgn0013333
                    Ztub   ADH_ZAPTU    P51552      FBgn0013372
Adh1                Dhyd   ADH1_DROHY   P23236      FBgn0012358
                    Dlac   ADH_DROLA    Q27404      FBgn0013821
                    Dmet   ADH1_DROMT   P22246      FBgn0012533
                    Dmoj   ADH1_DROMO   P09370      FBgn0012566
                    Dmon   ADH1_DROMN   P48586      FBgn0013852
                    Dmul   ADH1_DROMU   P07161      FBgn0012581
                    Dnav   ADH1_DRONA   P12854      FBgn0012589
                    Dvir   ADH_DROVI    B4M8Y0      FBgn0014836
Adh2                Dari   ADH2_DROAR   P27581      FBgn0012151
                    Dbuz   ADH2_DROBU   P25720      FBgn0012231
                    Dhyd   ADH2_DROHY   P23237      FBgn0012359
                    Dlac   ADH_DROLA    Q27404      FBgn0013822
                    Dmoj   ADH2_DROMO   P09369      FBgn0012567
                    Dmon   ADH2_DROMN   P48587      FBgn0013853
                    Dmul   ADH2_DROMU   P07160      FBgn0012582
                    Dvir   ADH_DROVI    B4M8Y0      FBgn0014837
                    Dwhe   ADH2_DROWH   P24267      FBgn0013151
Adhr                       ADHR_DROME   P91615      FBgn0000056
                    Damb   ADHR_DROAM   P25143      FBgn0012100
                    Dere   ADHR_DROER   P28485      FBgn0012262
                    Dgua   ADHR_DROGU   Q09007      FBgn0012325
                    Dimm   ADHR_DROIM   Q07586      FBgn0012412
                    Dleb   ADHR_DROLE   Q07587      FBgn0012439
                    Dmad   ADHR_DROMD   Q09008      FBgn0012467
                    Dmau   ADHR_DROMA   P26620      FBgn0012497
                    Dper   ADHR_DROPE   O16091      FBgn0012636
                    Dpse   ADHR_DROPS   P81764      FBgn0012689
                    Dsub   ADHR_DROSU   Q24640      FBgn0012931
                    Dtei   ADHR_DROTE   P28486      FBgn0013014
                    Dyak   ADHR_DROYA   P28487      FBgn0013164
Adi1                       MTND_DROME   Q6AWN0      FBgn0052068
AdipoR                     ADRL_DROME   Q9VCY8      FBgn0038984
Adk2                       KAD2_DROME   Q9U915      FBgn0283494
AdSS                       PURA_DROME   Q9Y0Y2      FBgn0027493
Aef1                       AEF1_DROME   P39413      FBgn0005694
aft                        CMTR2_DROME  Q9UAS6      FBgn0026309
ago                        FBXW7_DROME  Q9VZF4      FBgn0041171
AGO2                       AGO2_DROME   Q9VUQ5      FBgn0087035
AGO3                       AGO3_DROME   Q7PLK0      FBgn0250816
Ahcy13                     SAHH_DROME   Q27580      FBgn0014455
Ahcy89E                    SAHH2_DROME  P50245      FBgn0015011
AIF                        AIFM1_DROME  Q9VQ79      FBgn0031392
Ak6                        KAD6_DROME   Q7JYV7      FBgn0033754
