----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
glec                       GLEC_DROME   Q9VD73      FBgn0015229
Glt                        GLT_DROME    P33438      FBgn0001114
GluClalpha                 GLUCL_DROME  Q94900      FBgn0024963
GluRIA                     GLR1_DROME   Q03445      FBgn0004619
Glut1                      GTR1_DROME   Q8IRI6      FBgn0264574
Glut3                      GTR3_DROME   P53403      FBgn0015230
GlyP                       PYG_DROME    Q9XTL9      FBgn0004507
GlyS                       GYS_DROME    Q9VFC8      FBgn0266064
GM10080             Dsec   H2B_DROSE    Q76FD7      FBgn0165031
GM10129             Dsec   LST2_DROSE   B4IC49      FBgn0165080
GM10514             Dsec   UFL1_DROSE   B4I4N0      FBgn0165461
GM10627             Dsec   NMDA1_DROSE  B4I414      FBgn0165573
GM10653             Dsec   ENOPH_DROSE  B4I3X6      FBgn0165599
GM10688             Dsec   EI3F1_DROSE  B4I3S1      FBgn0165634
GM10701             Dsec   EIF3A_DROSE  B4I3P3      FBgn0165647
GM10768             Dsec   SLX1_DROSE   B4I3R2      FBgn0165714
GM10981             Dsec   DGKH_DROSE   B4I4Y1      FBgn0165926
GM11107             Dsec   VTU4_DROSE   A4UM15      FBgn0166052
GM11120             Dsec   EIF3J_DROSE  B4IMQ8      FBgn0166065
GM11149             Dsec   H4_DROSE     Q76FD9      FBgn0166094
GM11159             Dsec   H4_DROSE     Q76FD9      FBgn0166104
GM11162             Dsec   H4_DROSE     Q76FD9      FBgn0166107
GM11187             Dsec   H4_DROSE     Q76FD9      FBgn0166132
GM11335             Dsec   NNRE_DROSE   B4IDM2      FBgn0166279
GM11443             Dsec   T23O_DROSE   B4IDV8      FBgn0166386
GM11446             Dsec   WDR12_DROSE  B4HWV6      FBgn0166389
GM11479             Dsec   SMG8_DROSE   B4HWV2      FBgn0166422
GM11683             Dsec   H4_DROSE     Q76FD9      FBgn0166626
GM11705             Dsec   DCLK_DROSE   B4IMC3      FBgn0166648
GM11713             Dsec   H4_DROSE     Q76FD9      FBgn0166656
GM11715             Dsec   H4_DROSE     Q76FD9      FBgn0166658
GM11745             Dsec   H4_DROSE     Q76FD9      FBgn0166688
GM11748             Dsec   H2B_DROSE    Q76FD7      FBgn0166691
GM11749             Dsec   H4_DROSE     Q76FD9      FBgn0166692
GM11845             Dsec   H4_DROSE     Q76FD9      FBgn0166786
GM11870             Dsec   BRCA2_DROSE  B4IH30      FBgn0166811
GM11923             Dsec   IRS1_DROSE   B4HWI2      FBgn0166864
GM11937             Dsec   H2B_DROSE    Q76FD7      FBgn0166878
GM11956             Dsec   DM7A_DROSE   B4IL68      FBgn0166897
GM11957             Dsec   SWS_DROSE    B4IL64      FBgn0166898
GM11958             Dsec   DM7B_DROSE   B4IL62      FBgn0166899
GM12085             Dsec   MTNA_DROSE   B4I029      FBgn0167026
GM12223             Dsec   PTC71_DROSE  B4HZE7      FBgn0167160
GM12252             Dsec   CISD2_DROSE  B4HZ81      FBgn0167189
GM12330             Dsec   PESC_DROSE   B4HW93      FBgn0167267
GM12339             Dsec   NO66_DROSE   B4I100      FBgn0167276
GM12358             Dsec   NCBP1_DROSE  B4I0W6      FBgn0167295
GM12432             Dsec   RTEL1_DROSE  B4I0K4      FBgn0167369
GM12770             Dsec   PDE6D_DROSE  B4HYQ2      FBgn0167706
GM12821             Dsec   FOSL_DROSE   B4HZE8      FBgn0167757
GM12950             Dsec   H4_DROSE     Q76FD9      FBgn0167882
GM13063             Dsec   ENY2_DROSE   B4IK33      FBgn0167994
GM13085             Dsec   UBA5_DROSE   B4IK21      FBgn0168016
GM13120             Dsec   H4_DROSE     Q76FD9      FBgn0168051
GM13125             Dsec   H4_DROSE     Q76FD9      FBgn0168056
GM13135             Dsec   H2B_DROSE    Q76FD7      FBgn0168066
GM13140             Dsec   H4_DROSE     Q76FD9      FBgn0168071
GM13168             Dsec   H4_DROSE     Q76FD9      FBgn0168099
GM13186             Dsec   H4_DROSE     Q76FD9      FBgn0168117
GM13187             Dsec   H2B_DROSE    Q76FD7      FBgn0168118
GM13190             Dsec   H4_DROSE     Q76FD9      FBgn0168121
GM13191             Dsec   H2B_DROSE    Q76FD7      FBgn0168122
GM13192             Dsec   H4_DROSE     Q76FD9      FBgn0168123
GM13213             Dsec   H2B_DROSE    Q76FD7      FBgn0168144
GM13299             Dsec   UBE2S_DROSE  B4IF39      FBgn0168230
GM13525             Dsec   H4_DROSE     Q76FD9      FBgn0168456
GM13534             Dsec   NFU1_DROSE   B4IMF6      FBgn0168465
GM13538             Dsec   H4_DROSE     Q76FD9      FBgn0168469
GM13539             Dsec   H2B_DROSE    Q76FD7      FBgn0168470
GM13541             Dsec   H2B_DROSE    Q76FD7      FBgn0168472
GM13542             Dsec   H2B_DROSE    Q76FD7      FBgn0168473
GM13562             Dsec   H4_DROSE     Q76FD9      FBgn0168493
GM13604             Dsec   EFGM_DROSE   B4HY41      FBgn0168535
GM13608             Dsec   H2B_DROSE    Q76FD7      FBgn0168539
GM13614             Dsec   H2B_DROSE    Q76FD7      FBgn0168545
GM13630             Dsec   H4_DROSE     Q76FD9      FBgn0168561
GM13631             Dsec   H4_DROSE     Q76FD9      FBgn0168562
GM13660             Dsec   H2B_DROSE    Q76FD7      FBgn0168591
GM13730             Dsec   IHOG_DROSE   B4HY03      FBgn0168661
GM13742             Dsec   URM1_DROSE   B4HVA2      FBgn0168673
GM13927             Dsec   SHEP_DROSE   B4HUE4      FBgn0168857
GM14208             Dsec   CUE_DROSE    B4HVU2      FBgn0169134
GM14566             Dsec   DRE2_DROSE   B4HXL7      FBgn0169487
GM14719             Dsec   UBP36_DROSE  B4HUI5      FBgn0169640
GM14868             Dsec   H4_DROSE     Q76FD9      FBgn0169789
GM14927             Dsec   SGF11_DROSE  B4IFU5      FBgn0169848
GM15016             Dsec   SOSSC_DROSE  B4IG10      FBgn0169936
GM15071             Dsec   GATC_DROSE   B4HXA6      FBgn0169991
GM15095             Dsec   SNMP1_DROSE  B4IKJ4      FBgn0170015
GM15120             Dsec   TOTX_DROSE   B4II52      FBgn0170040
GM15136             Dsec   H4_DROSE     Q76FD9      FBgn0170056
GM15141             Dsec   ASUN_DROSE   B4IBY5      FBgn0170061
GM15151             Dsec   ARMET_DROSE  B4IBX2      FBgn0170071
GM15280             Dsec   NCBP2_DROSE  B4IBA4      FBgn0170200
GM15368             Dsec   SUR8_DROSE   B4IBI9      FBgn0170287
GM15447             Dsec   NOL6_DROSE   B4IBY3      FBgn0170365
GM15454             Dsec   H4_DROSE     Q76FD9      FBgn0170372
GM15473             Dsec   H2B_DROSE    Q76FD7      FBgn0170391
GM15586             Dsec   ANM7_DROSE   B4I8G2      FBgn0170504
GM15681             Dsec   ASPG2_DROSE  B4I7X1      FBgn0170597
GM15805             Dsec   TULP_DROSE   B4I7J9      FBgn0170721
GM15855             Dsec   EIF3K_DROSE  B4I7U3      FBgn0170771
GM16084             Dsec   KAD2_DROSE   B4I2A8      FBgn0171000
GM16107             Dsec   H4_DROSE     Q76FD9      FBgn0171023
GM16109             Dsec   H4_DROSE     Q76FD9      FBgn0171025
GM16164             Dsec   H4_DROSE     Q76FD9      FBgn0171080
GM16168             Dsec   H2B_DROSE    Q76FD7      FBgn0171084
GM16185             Dsec   H4_DROSE     Q76FD9      FBgn0171101
GM16230             Dsec   H4_DROSE     Q76FD9      FBgn0171146
GM16393             Dsec   H4_DROSE     Q76FD9      FBgn0171308
GM16482             Dsec   SRRT_DROSE   B4II37      FBgn0171397
GM16538             Dsec   EI3F2_DROSE  B4II46      FBgn0171453
GM16542             Dsec   H2B_DROSE    Q76FD7      FBgn0171457
GM16879             Dsec   H4_DROSE     Q76FD9      FBgn0171792
GM16891             Dsec   H4_DROSE     Q76FD9      FBgn0171804
GM16925             Dsec   H4_DROSE     Q76FD9      FBgn0171838
GM16980             Dsec   TOTE_DROSE   B4I609      FBgn0171893
GM16981             Dsec   TOTF_DROSE   B4I608      FBgn0171894
GM17005             Dsec   CTU2_DROSE   B4I5W3      FBgn0171918
GM17034             Dsec   MOCS3_DROSE  B4HYP0      FBgn0171946
GM17040             Dsec   HOOK_DROSE   B4I5P7      FBgn0171952
GM17199             Dsec   NUBP1_DROSE  B4I540      FBgn0172110
GM17425             Dsec   H2B_DROSE    Q76FD7      FBgn0172335
GM17443             Dsec   H4_DROSE     Q76FD9      FBgn0172353
GM17635             Dsec   MTNB_DROSE   B4IG61      FBgn0172543
GM17711             Dsec   H2B_DROSE    Q76FD7      FBgn0172619
GM17747             Dsec   MOC2A_DROSE  B4IJG8      FBgn0172655
GM17748             Dsec   MOC2B_DROSE  B4IJG7      FBgn0172656
GM17832             Dsec   ZGPAT_DROSE  B4HWD7      FBgn0172739
GM18040             Dsec   EIF3H_DROSE  B4I1C2      FBgn0172947
GM18055             Dsec   EIF3I_DROSE  B4I195      FBgn0172962
GM18289             Dsec   KAD2_DROSE   B4I2A8      FBgn0173196
GM18373             Dsec   RS21_DROSE   B4I2S0      FBgn0173280
GM18629             Dsec   FICD_DROSE   B4I1V5      FBgn0173535
GM18710             Dsec   WRNXO_DROSE  B4I298      FBgn0173615
GM18806             Dsec   H4_DROSE     Q76FD9      FBgn0173711
GM18818             Dsec   H4_DROSE     Q76FD9      FBgn0173723
GM18819             Dsec   H2B_DROSE    Q76FD7      FBgn0173724
GM18833             Dsec   H4_DROSE     Q76FD9      FBgn0173738
GM18870             Dsec   EI3GA_DROSE  B4I9X1      FBgn0173773
GM18921             Dsec   TRMB_DROSE   B4I9N7      FBgn0173824
GM18947             Dsec   PGAM5_DROSE  B4I9J6      FBgn0173850
GM18969             Dsec   RSSA_DROSE   B4I9F6      FBgn0173872
GM19277             Dsec   H2B_DROSE    Q76FD7      FBgn0174177
GM19313             Dsec   H4_DROSE     Q76FD9      FBgn0174213
GM19317             Dsec   H4_DROSE     Q76FD9      FBgn0174217
GM19324             Dsec   H4_DROSE     Q76FD9      FBgn0174224
GM19326             Dsec   H4_DROSE     Q76FD9      FBgn0174226
GM19328             Dsec   H2B_DROSE    Q76FD7      FBgn0174228
GM19340             Dsec   H4_DROSE     Q76FD9      FBgn0174240
GM19352             Dsec   H4_DROSE     Q76FD9      FBgn0174252
GM19376             Dsec   H4_DROSE     Q76FD9      FBgn0174276
GM19430             Dsec   H2B_DROSE    Q76FD7      FBgn0174330
GM19601             Dsec   H4_DROSE     Q76FD9      FBgn0174501
GM19608             Dsec   H2B_DROSE    Q76FD7      FBgn0174508
GM19626             Dsec   H4_DROSE     Q76FD9      FBgn0174526
GM19645             Dsec   H4_DROSE     Q76FD9      FBgn0174545
GM19672             Dsec   H2B_DROSE    Q76FD7      FBgn0174572
GM19693             Dsec   H4_DROSE     Q76FD9      FBgn0174593
GM19694             Dsec   H4_DROSE     Q76FD9      FBgn0174594
GM19696             Dsec   H2B_DROSE    Q76FD7      FBgn0174596
GM19697             Dsec   H2B_DROSE    Q76FD7      FBgn0174597
GM19700             Dsec   H4_DROSE     Q76FD9      FBgn0174600
GM19701             Dsec   H2B_DROSE    Q76FD7      FBgn0174601
GM19703             Dsec   H2B_DROSE    Q76FD7      FBgn0174603
GM19704             Dsec   H4_DROSE     Q76FD9      FBgn0174604
GM19705             Dsec   H4_DROSE     Q76FD9      FBgn0174605
GM19734             Dsec   H2B_DROSE    Q76FD7      FBgn0174634
GM19735             Dsec   H4_DROSE     Q76FD9      FBgn0174635
GM19736             Dsec   H2B_DROSE    Q76FD7      FBgn0174636
GM19737             Dsec   H4_DROSE     Q76FD9      FBgn0174637
GM19761             Dsec   H2B_DROSE    Q76FD7      FBgn0174660
GM19805             Dsec   AKTP2_DROSE  B4HPU1      FBgn0174691
GM20007             Dsec   H4_DROSE     Q76FD9      FBgn0174892
GM20010             Dsec   TEF_DROSE    B4HMH2      FBgn0174895
GM20026             Dsec   FEN1_DROSE   B4HTA1      FBgn0174911
GM20083             Dsec   CALYP_DROSE  B4HST0      FBgn0174966
GM20100             Dsec   UFC1_DROSE   B4HSI1      FBgn0174983
GM20174             Dsec   CIAO1_DROSE  B4HRQ6      FBgn0175057
GM20228             Dsec   EIF3M_DROSE  B4HR14      FBgn0175111
GM20275             Dsec   CLP1_DROSE   B4HQJ2      FBgn0175158
GM20297             Dsec   FBSP1_DROSE  B4HQ29      FBgn0175180
GM20393             Dsec   PTK7_DROSE   B4HNW4      FBgn0175276
GM20417             Dsec   NARF_DROSE   B4IMH3      FBgn0175300
GM20456             Dsec   WDR48_DROSE  B4HND9      FBgn0175338
GM20523             Dsec   SDF2B_DROSE  B4HMQ1      FBgn0175405
GM20572             Dsec   AKTP1_DROSE  B4HT57      FBgn0175454
GM20604             Dsec   OST4_DROSE   B4HSS0      FBgn0175486
GM20632             Dsec   CTU1_DROSE   B4HSL7      FBgn0175514
GM20711             Dsec   SDF2A_DROSE  B4HRL4      FBgn0175592
GM20755             Dsec   KTU_DROSE    B4HR78      FBgn0175636
GM20779             Dsec   ASNA_DROSE   B4HR35      FBgn0175660
GM20800             Dsec   EAF_DROSE    B4HQT6      FBgn0175681
GM21049             Dsec   LPHN_DROSE   B4HS00      FBgn0175930
GM21137             Dsec   ASPG1_DROSE  B4HT15      FBgn0176018
GM21292             Dsec   QVR_DROSE    B4HNI3      FBgn0176173
GM21298             Dsec   TRE11_DROSE  B4HNS0      FBgn0176179
GM21299             Dsec   TRE12_DROSE  B4HNS1      FBgn0176180
GM21641             Dsec   NTAQ1_DROSE  B4HSF8      FBgn0176521
GM21668             Dsec   LIS1_DROSE   B4HSL3      FBgn0176548
GM21793             Dsec   EIF3B_DROSE  B4HMV9      FBgn0176671
GM21808             Dsec   EIF3C_DROSE  B4HMY3      FBgn0176685
GM21825             Dsec   BOP1_DROSE   B4HN85      FBgn0176702
GM22033             Dsec   H4_DROSE     Q76FD9      FBgn0176904
GM22133             Dsec   PLK4_DROSE   B4IAQ8      FBgn0177004
GM22215             Dsec   LIAS_DROSE   B4IAA7      FBgn0177085
GM22297             Dsec   VMA21_DROSE  B4IAB8      FBgn0177167
GM22307             Dsec   NUBP2_DROSE  B4IAD1      FBgn0177177
GM22424             Dsec   H2B_DROSE    Q76FD7      FBgn0177294
GM22468             Dsec   MAEL_DROSE   B4IB36      FBgn0177338
GM22584             Dsec   H2B_DROSE    Q76FD7      FBgn0177454
GM22670             Dsec   H4_DROSE     Q76FD9      FBgn0177540
GM23111             Dsec   EI3GB_DROSE  B4IIC7      FBgn0177979
GM23142             Dsec   TOTA_DROSE   B4II58      FBgn0178010
GM23143             Dsec   TOTA_DROSE   B4II58      FBgn0178011
GM23144             Dsec   TOTC_DROSE   B4II57      FBgn0178012
GM23145             Dsec   TOTB_DROSE   B4II56      FBgn0178013
GM23146             Dsec   TOTZ_DROSE   B4II55      FBgn0178014
GM23148             Dsec   TOTX_DROSE   B4II52      FBgn0178016
GM23154             Dsec   PURA_DROSE   B4II68      FBgn0178022
GM23236             Dsec   RS3A_DROSE   B4IL76      FBgn0178103
GM23249             Dsec   H2B_DROSE    Q76FD7      FBgn0178116
GM23434             Dsec   H2B_DROSE    Q76FD7      FBgn0178301
GM23589             Dsec   HH_DROSE     B4HFB7      FBgn0178454
GM23797             Dsec   PTER_DROSE   B4HKF2      FBgn0178662
GM23805             Dsec   H2B_DROSE    Q76FD7      FBgn0178670
GM23853             Dsec   CRBN_DROSE   B4HJA7      FBgn0178718
GM24037             Dsec   H2B_DROSE    Q76FD7      FBgn0178902
GM24148             Dsec   FOXO_DROSE   B4HF64      FBgn0179012
GM24174             Dsec   H4_DROSE     Q76FD9      FBgn0179038
GM24202             Dsec   SCC4_DROSE   B4HE12      FBgn0179066
GM24265             Dsec   SPNE_DROSE   B4HLH4      FBgn0179129
GM24332             Dsec   COQ4_DROSE   B4HKS2      FBgn0179196
GM24351             Dsec   H4_DROSE     Q76FD9      FBgn0179215
GM24367             Dsec   EIF3E_DROSE  B4HK67      FBgn0179231
GM24464             Dsec   FLOWR_DROSE  B4HIJ8      FBgn0179327
GM24677             Dsec   EIF3L_DROSE  B4HFJ3      FBgn0179540
GM24767             Dsec   WLS_DROSE    B4HEB1      FBgn0179630
GM24868             Dsec   QTRD1_DROSE  B4HL48      FBgn0179730
GM24897             Dsec   SMG_DROSE    B4HKJ7      FBgn0179759
GM25560             Dsec   KLHDB_DROSE  B4HIK1      FBgn0180417
GM25831             Dsec   KIBRA_DROSE  B4HEJ6      FBgn0180687
GM25848             Dsec   PDE6_DROSE   B4HEM4      FBgn0180704
GM25850             Dsec   HTRA2_DROSE  B4HEM8      FBgn0180706
GM25856             Dsec   SOTI_DROSE   B4HEN5      FBgn0180712
GM26037             Dsec   EI3D2_DROSE  B4HHG8      FBgn0180892
GM26090             Dsec   JUPIT_DROSE  B4HI06      FBgn0180945
GM26200             Dsec   CARM1_DROSE  B4HJC0      FBgn0181055
GM26230             Dsec   TMEDE_DROSE  B4HJV5      FBgn0181085
GM26252             Dsec   RAS1_DROSE   B4HKC7      FBgn0181107
GM26450             Dsec   RRF2M_DROSE  B4HEQ8      FBgn0181303
GM26513             Dsec   EI3D1_DROSE  B4HFV9      FBgn0181366
GM26551             Dsec   SPAST_DROSE  B4HGG6      FBgn0181404
GM26573             Dsec   CAV_DROSE    B4HGK2      FBgn0181426
GM26662             Dsec   H4_DROSE     Q76FD9      FBgn0181515
GM26664             Dsec   H4_DROSE     Q76FD9      FBgn0181517
GM26707             Dsec   H2B_DROSE    Q76FD7      FBgn0181560
GM26724             Dsec   H2B_DROSE    Q76FD7      FBgn0181577
GM26728             Dsec   H4_DROSE     Q76FD9      FBgn0181581
GM26749             Dsec   INT3_DROSE   B4IMI7      FBgn0181602
Gmd                        GMDS_DROME   Q9VMW9      FBgn0031661
Gmer                       FCL_DROME    Q9W1X8      FBgn0267823
GNBP1                      BGBP1_DROME  Q9NHB0      FBgn0040323
GNBP2                      BGBP2_DROME  Q9VVR4      FBgn0040322
GNBP3                      BGBP3_DROME  Q9NHA8      FBgn0040321
Gnf1                       RFC1_DROME   P35600      FBgn0004913
gny                        ALG6_DROME   Q9VKX7      FBgn0032234
gol                        GOLI_DROME   Q06003      FBgn0004919
Golgin84                   GOGA5_DROME  Q8SZ63      FBgn0039188
Gos28                      GOSR1_DROME  Q9VE50      FBgn0044871
Gpdh                       GPDA_DROME   P13706      FBgn0001128
                    Dame   GPDA_DROAE   Q27556      FBgn0015636
                    Dpse   GPDA_DROPS   Q27928      FBgn0243577
                    Dvir   GPDA_DROVI   P07735      FBgn0013081
Gpdh1               Dezo   GPDA_DROEZ   Q27567      FBgn0015644
                    Dkan   GPDA_DROKA   O97463      FBgn0044992
Gpdh2               Dkan   GPDA_DROKA   O97463      FBgn0044991
gpp                        DOT1L_DROME  Q8INR6      FBgn0264495
Gprk1                      GPRK1_DROME  P32865      FBgn0260798
Gprk2                      GPRK2_DROME  P32866      FBgn0261988
gprs                       GPRS_DROME   O61366      FBgn0024232
Gr2a                       GR02A_DROME  Q9W594      FBgn0265139
Gr5a                       GR05A_DROME  Q9W497      FBgn0003747
Gr8a                       GR08A_DROME  Q9W367      FBgn0030108
Gr9a                       GR09A_DROME  Q8IRL8      FBgn0052693
Gr10a                      GR10A_DROME  P58950      FBgn0045502
Gr10b                      GR10B_DROME  Q9VYZ2      FBgn0030297
Gr21a                      GR21A_DROME  Q9VPT1      FBgn0041250
Gr22a                      GR22A_DROME  P58951      FBgn0045501
Gr22b                      GR22B_DROME  P84180      FBgn0045500
Gr22c                      GR22C_DROME  P58952      FBgn0265138
Gr22d                      GR22D_DROME  P84181      FBgn0045498
Gr22e                      GR22E_DROME  P58953      FBgn0045497
Gr22f                      GR22F_DROME  P58954      FBgn0041249
Gr23a                      G23AA_DROME  Q9VQE7      FBgn0041248
                           G23AB_DROME  P83292                 
Gr28a                      GR28A_DROME  Q9VM09      FBgn0041247
Gr28b                      GR28B_DROME  Q9VM08      FBgn0045495
Gr32a                      GR32A_DROME  Q9VKJ7      FBgn0041246
Gr33a                      GR33A_DROME  Q9VKA5      FBgn0032416
Gr36a                      GR36A_DROME  P58955      FBgn0045487
Gr36b                      GR36B_DROME  Q9VJF2      FBgn0045486
Gr36c                      GR36C_DROME  Q8INZ2      FBgn0045485
Gr39a                      G39AA_DROME  P58956      FBgn0264556
                           G39AB_DROME  P58957                 
                           G39AC_DROME  P58958                 
                           G39AD_DROME  P58959                 
Gr39b                      GR39B_DROME  P58960      FBgn0041245
Gr43a                      GR43A_DROME  Q9V4K2      FBgn0041243
Gr47b                      GR47B_DROME  P58961      FBgn0041241
Gr57a                      GR57A_DROME  Q9V969      FBgn0041240
Gr58a                      GR58A_DROME  P58962      FBgn0041239
Gr58b                      GR58B_DROME  Q9W2B1      FBgn0041238
Gr58c                      GR58C_DROME  Q9W2B2      FBgn0041237
Gr59b               Dere   G59B_DROER   Q8I1F0      FBgn0064621
Gr59c                      GR59C_DROME  Q9W1U5      FBgn0041235
Gr59d                      GR59D_DROME  P58985      FBgn0041236
Gr59e                      GR59E_DROME  Q9W1N6      FBgn0041233
Gr59f                      GR59F_DROME  Q9W1N5      FBgn0041234
Gr61a                      GR61A_DROME  Q9W0M2      FBgn0035167
Gr63a                      GR63A_DROME  Q9VZL7      FBgn0035468
Gr64a                      GR64A_DROME  P83293      FBgn0045479
Gr64b                      GR64B_DROME  P83294      FBgn0045478
Gr64c                      GR64C_DROME  P83295      FBgn0045477
Gr64d                      GR64D_DROME  Q9VZJ6      FBgn0035486
Gr64e                      GR64E_DROME  P83296      FBgn0045476
Gr64f                      GR64F_DROME  P83297      FBgn0052255
Gr66a                      GR66A_DROME  Q9VSH2      FBgn0035870
Gr68a                      GR68A_DROME  Q9VTN0      FBgn0041231
Gr77a                      GR77A_DROME  Q8IPU5      FBgn0045474
Gr85a                      GR85A_DROME  Q8INM9      FBgn0045473
Gr89a                      GR89A_DROME  Q9VEU0      FBgn0038440
Gr92a                      GR92A_DROME  Q8IN58      FBgn0045471
Gr93a                      GR93A_DROME  Q9VD76      FBgn0041229
Gr93b                      GR93B_DROME  Q8IN23      FBgn0045470
Gr93c                      GR93C_DROME  Q9VD74      FBgn0045469
Gr94a                      GR94A_DROME  Q8IMZ5      FBgn0041225
Gr97a                      GR97A_DROME  Q8IMQ6      FBgn0041224
Gr98a                      GR98A_DROME  Q9VB30      FBgn0039520
Gr98b                      GR98B_DROME  Q9VB26      FBgn0046887
Gr98c                      GR98C_DROME  Q8IMN6      FBgn0046886
Gr98d                      GR98D_DROME  Q8IMN5      FBgn0046885
grau                       GRAU_DROME   Q9U405      FBgn0001133
Grd                        GBRAL_DROME  Q24352      FBgn0001134
grh                        ELF1_DROME   P13002      FBgn0259211
grim                       GRIM_DROME   Q24570      FBgn0015946
Grip75                     GCP4_DROME   Q9VKU7      FBgn0026431
Grip84                     GCP2_DROME   Q9XYP7      FBgn0026430
grk                        GRK_DROME    P42287      FBgn0001137
grn                        GATAC_DROME  P91623      FBgn0001138
grnd                       GRND_DROME   Q9VJ83      FBgn0032682
gro                        GROU_DROME   P16371      FBgn0001139
grp                        CHK1_DROME   O61661      FBgn0261278
Gs1                        GLNA1_DROME  P20477      FBgn0001142
Gs1l                       GS1_DROME    Q94529      FBgn0019982
Gs2                        GLNA2_DROME  P20478      FBgn0001145
gsb                        GSB_DROME    P09082      FBgn0001148
gsb-n                      GSBN_DROME   P09083      FBgn0001147
Gsc                        GSC_DROME    P54366      FBgn0010323
gskt                       GSK3H_DROME  P83101      FBgn0046332
GstD1                      GSTD1_DROME  P20432      FBgn0001149
                    Dere   GSTT1_DROER  P30104      FBgn0012266
                    Dmau   GSTT1_DROMA  P67804      FBgn0012503
                    Dsec   GSTT1_DROSE  P30106      FBgn0012785
                    Dsim   GSTT1_DROSI  P67805      FBgn0012838
                    Dtei   GSTT1_DROTE  P30107      FBgn0013016
                    Dyak   GSTT1_DROYA  P30108      FBgn0013168
GstD2                      GSTD2_DROME  Q9VG98      FBgn0010038
GstD3                      GSTD3_DROME  Q9VG97      FBgn0010039
GstD4                      GSTD4_DROME  Q9VG96      FBgn0010040
GstD5                      GSTD5_DROME  Q9VG95      FBgn0010041
GstD6                      GSTD6_DROME  Q9VG94      FBgn0010042
GstD7                      GSTD7_DROME  Q9VG93      FBgn0010043
GstE14                     GSTEE_DROME  Q7JYX0      FBgn0033817
GstS1                      GSTS1_DROME  P41043      FBgn0010226
GstZ1                      MAAI1_DROME  Q9VHD3      FBgn0037696
GstZ2                      MAAI2_DROME  Q9VHD2      FBgn0037697
gt                         GIANT_DROME  P39572      FBgn0001150
Gtp-bp                     SRPRA_DROME  Q9U5L1      FBgn0010391
gus                        GUS_DROME    A1Z6E0      FBgn0026238
gw                         GAWKY_DROME  Q8SY33      FBgn0051992
Gyc32E                     GCY3E_DROME  Q07553      FBgn0010197
Gyc76C                     GC76C_DROME  Q7JQ32      FBgn0266136
Gyc88E                     GCY8E_DROME  Q8INF0      FBgn0038295
Gyc-89Da                   GCYDA_DROME  Q9VEU6      FBgn0038435
Gyc-89Db                   GCYDB_DROME  Q9VEU5      FBgn0038436
Gycalpha99B                GCYH_DROME   Q07093      FBgn0013972
gypsy\env                  ENV1_DROME   P10403      FBgn0014964
gypsy\gag                  GAGY_DROME   P10405      FBgn0014965
gypsy\pol                  POLY_DROME   P10401      FBgn0014966
h                          HAIR_DROME   P14003      FBgn0001168
H                          HLES_DROME   Q02308      FBgn0001169
h                   Dvir   HAIR_DROVI   P29303      FBgn0013115
H2.0                       HMH2_DROME   P10035      FBgn0001170
H15                        H15_DROME    Q94890      FBgn0016660
ham                        HAM_DROME    Q8I7Z8      FBgn0045852
hang                       HANG_DROME   Q9VXG1      FBgn0026575
Haspin                     HASP_DROME   P83103      FBgn0046706
hay                        ERCC3_DROME  Q02870      FBgn0001179
Hayan                      HAYAN_DROME  A8JUP7      FBgn0030925
hb                         HUNB_DROME   P05084      FBgn0001180
                    Dadi   HUNB_DROAD   O46232      FBgn0024138
                    Dadu   HUNB_DROAA   O46234      FBgn0024132
                    Dcra   HUNB_SCACA   O46236      FBgn0024083
                    Dcyr   HUNB_DROCY   O46238      FBgn0024077
                    Ddas   HUNB_DRODA   O46262      FBgn0024069
                    Ddis   HUNB_DRODS   O46240      FBgn0024059
                    Diki   HUNB_DROIK   O46242      FBgn0023829
                    Dlin   HUNB_DROLI   O46244      FBgn0023784
                    Dmic   HUNB_DROMM   O46248      FBgn0023764
                    Dmul   HUNB_DROMU   O46250      FBgn0023760
                    Dore   HUNB_DROOR   O62537      FBgn0024421
